resource_id,resource_type,region,monthly_cost_usd,cpu_utilization_pct,storage_utilization_pct,instance_type,tags
i-001a2b3c,ec2,us-east-1,245.60,2.1,65.0,t3.xlarge,env=prod
i-002d4e5f,ec2,us-east-1,312.40,3.5,70.0,m5.large,env=prod
i-003g6h7i,ec2,us-west-2,189.20,18.0,45.0,t3.large,env=staging
i-004j8k9l,ec2,us-west-2,98.50,75.0,80.0,t3.medium,env=dev
i-005m0n1o,ec2,eu-west-1,420.00,1.5,55.0,m5.xlarge,env=prod
i-006p2q3r,ec2,eu-west-1,156.80,14.0,40.0,t3.large,env=staging
i-007s4t5u,ec2,ap-south-1,88.00,82.0,90.0,t3.small,env=dev
i-008v6w7x,ec2,ap-south-1,534.20,4.2,60.0,m5.2xlarge,env=prod
i-009y8z9a,ec2,us-east-1,267.90,9.5,50.0,m5.large,env=staging
i-010b1c2d,ec2,us-east-1,412.00,16.0,75.0,m5.xlarge,env=prod
bucket-001,s3,us-east-1,45.20,0.0,12.0,N/A,team=data
bucket-002,s3,us-east-1,88.40,0.0,8.5,N/A,team=analytics
bucket-003,s3,us-west-2,32.10,0.0,55.0,N/A,team=backend
bucket-004,s3,eu-west-1,120.60,0.0,5.0,N/A,team=ml
bucket-005,s3,ap-south-1,15.30,0.0,72.0,N/A,team=devops
vol-001,ebs,us-east-1,28.50,0.0,10.0,gp2,env=prod
vol-002,ebs,us-east-1,42.00,0.0,15.0,gp2,env=prod
vol-003,ebs,us-west-2,18.80,0.0,80.0,gp3,env=dev
vol-004,ebs,eu-west-1,65.00,0.0,9.0,io1,env=prod
vol-005,ebs,ap-south-1,22.40,0.0,18.0,gp2,env=staging
rds-001,rds,us-east-1,320.00,35.0,65.0,db.t3.medium,env=prod
rds-002,rds,us-east-1,180.00,12.0,40.0,db.t3.small,env=staging
rds-003,rds,us-west-2,450.00,55.0,70.0,db.m5.large,env=prod
elb-001,elb,us-east-1,22.50,0.0,0.0,application,env=prod
elb-002,elb,us-west-2,18.00,0.0,0.0,network,env=prod
nat-001,nat,us-east-1,35.00,0.0,0.0,N/A,env=prod
lambda-001,lambda,us-east-1,5.20,0.0,0.0,N/A,team=backend
lambda-002,lambda,us-west-2,3.80,0.0,0.0,N/A,team=data
cf-001,cloudfront,us-east-1,78.00,0.0,0.0,N/A,team=frontend
route53-001,route53,global,12.00,0.0,0.0,N/A,env=prod
